YB,YB_long,YB_lat,8umphotom,standard error 8,N8,EX8,12umphotom,standard error 12,N12,EX12,24umphotom,standard error 24,N24,EX24,70umphotom,standard error 70,N70,EX70
ID Number,degree,degree,Jy,error,count,excluded count,Jy,error,count,excluded count,Jy,error,count,excluded count,Jy,error,count,excluded count
1,-0.041432958,0.167050008,1.6835,0.2584,5,0,0.5183,0.1348,5,0,2.0125,0.2389,5,0,16.1253,2.1248,5,0
2,-0.023111213,0.169159859,5.3291,0.091,5,0,0.5604,0.1462,5,0,,,,,95.7994,11.1154,5,0
3,0.040875613,0.020200699,4.9239,0.2331,5,0,,,,,,,,,78.4998,12.6201,5,0
4,0.186036858,-0.611813504,0.3001,0.0397,5,0,0.1202,0.0084,5,0,0.7187,0.0343,5,0,4.8869,0.3475,5,0
5,0.200750902,-0.513360793,0.5169,0.0473,5,0,0.0873,0.0123,5,0,0.2825,0.0328,5,0,14.9728,1.8038,5,0
6,0.209509309,-0.001949522,1.7198,0.1653,5,0,0.2428,0.0504,5,0,,,,,148.8749,14.5872,5,0
7,0.279043238,-0.484630374,9.0421,1.4485,5,0,2.0536,0.4679,5,0,,,,,488.787,72.3315,5,0
8,0.313508954,-0.203541295,11.7224,1.0644,5,0,,,,,,,,,794.7477,48.2303,5,0
9,0.314133033,-0.192718231,17.3574,1.6503,5,0,,,,,,,,,469.3434,66.7898,5,0
10,0.331705943,-0.062484792,5.4743,0.5096,5,0,,,,,,,,,101.3833,17.4194,5,0
11,0.336513676,-0.013365488,10.5537,1.3961,5,0,,,,,,,,,78.9686,18.245,5,0
12,0.381538385,0.016557297,6.3362,0.7576,5,0,,,,,,,,,254.843,30.5534,5,0
13,0.410835395,-0.059523745,1.6156,0.2404,5,0,0.7675,0.1422,5,0,,,,,33.4263,4.3802,5,0
14,0.467861281,-0.675211245,0.4939,0.0424,5,0,0.0877,0.0119,5,0,0.3482,0.0554,5,0,7.6018,1.1471,5,0
15,0.470496721,-0.055056059,5.1246,0.2249,5,0,-0.5742,0.1724,4,0,,,,,89.0679,5.6897,5,0
16,0.479391879,0.073992663,1.1456,0.0419,5,0,1.1233,0.3377,5,0,,,,,55.2493,15.0271,5,0
17,0.489693602,-0.074343193,15.2267,0.6828,5,0,,,,,,,,,190.1514,17.1278,5,0
18,0.503642286,-0.788771411,1.1187,0.1233,5,0,0.256,0.0161,5,0,2.5183,0.0445,5,0,22.0228,0.8551,5,0
19,0.528318062,0.181778051,1.8141,0.1055,5,0,0.8052,0.1517,5,0,,,,,279.1742,18.6853,5,0
20,0.532688594,0.168534616,1.0878,0.1038,5,0,0.2346,0.0298,5,0,3.5436,0.5079,4,0,44.5416,4.6175,5,0
21,0.534372743,-0.082052388,8.6284,0.4986,5,0,,,,,,,,,103.2432,13.5902,5,0
22,0.544797809,-0.84227851,0.9733,0.0911,5,0,0.2114,0.0383,4,0,3.0251,1.8079,2,0,27.1554,9.2795,5,0
23,0.545292155,-0.847688094,1.5303,0.789,5,0,,,,,,,,,1180.2373,738.0364,5,0
24,0.546447128,-0.851175796,4.6512,0.1471,5,0,,,,,,,,,2995.5275,127.4336,5,0
25,0.551001286,-0.85213406,2.6611,0.2258,5,0,,,,,,,,,614.7193,508.279,5,0
26,0.563255078,-0.854075899,9.3273,1.1521,5,0,,,,,,,,,252.1449,28.7167,5,0
27,0.582542191,-0.870940308,3.9446,1.7506,5,0,,,,,,,,,73.477,34.8637,5,0
28,0.591257836,0.049896932,0.3314,0.0438,5,0,0.3355,0.0646,5,0,9.366,1.7546,5,0,19.7794,3.804,5,0
29,0.602098065,-0.050016751,8.7327,0.6679,5,0,,,,,,,,,572.4975,68.3146,5,0
30,0.630839294,-0.027189752,4.2811,0.1828,5,0,1.3023,0.3262,5,0,,,,,251.3973,19.6676,5,0
31,0.640261431,-0.112105302,2.4378,0.1765,5,0,0.7294,0.2063,5,0,,,,,34.7265,5.435,5,0
32,0.65488722,-0.068756682,0.2266,0.0967,5,0,0.1571,0.0419,5,0,1.6146,0.883,4,0,5.2439,2.3598,5,0
33,0.666360945,-0.050347657,0.4087,0.0331,5,0,0.1975,0.0297,5,0,,,,,26.0314,6.1929,5,0
34,0.669359903,-0.035040541,1.3278,0.2088,5,0,0.5174,0.0402,5,0,,,,,6573.5066,471.9864,5,0
