YB,l,b,r,dl,db,dr,hit rate
1,-0.041432958,0.167050008,0.003658291,0.000769693,0.000725268,0.002037394,0.652173913
2,-0.023111213,0.169159859,0.003910418,0.000558282,0.000527433,0.001382906,0.47826087
3,0.040875613,0.020200699,0.0031422,0.000193832,0.000370879,0.000938861,0.230769231
4,0.186036858,-0.611813504,0.003039883,0.00071211,0.000363803,0.002512706,0.1875
5,0.200750902,-0.513360793,0.002216539,0.000502696,0.000452989,0.000899005,0.285714286
6,0.209509309,-0.001949522,0.003344403,0.000388851,0.001019252,0.000788752,0.172413793
7,0.279043238,-0.484630374,0.006592027,0.000547893,0.001043532,0.001855724,0.634146341
8,0.313508954,-0.203541295,0.004564503,0.000777003,0.000783007,0.001550886,0.534883721
9,0.314133033,-0.192718231,0.004588912,0.000787705,0.001007487,0.002083841,0.5
10,0.331705943,-0.062484792,0.004423274,0.000841146,0.000331758,0.001976585,0.290322581
11,0.336513676,-0.013365488,0.004533226,0.000933021,0.000425892,0.002740764,0.315789474
12,0.381538385,0.016557297,0.005646113,0.000867957,0.000727474,0.002145047,0.529411765
13,0.410835395,-0.059523745,0.002118394,0.000257463,0.000242128,0.00070986,0.225806452
14,0.467861281,-0.675211245,0.003053696,0.000222377,0.001074209,0.001009588,0.192307692
15,0.470496721,-0.055056059,0.002288991,0.000292759,0.000523759,0.000357999,0.290322581
16,0.479391879,0.073992663,0.004144626,0.000460052,0.000697416,0.001283619,0.658536585
17,0.489693602,-0.074343193,0.003861887,0.000339907,0.000398539,0.000757785,0.575757576
18,0.503642286,-0.788771411,0.002569483,0.000405852,0.000537581,0.000878197,0.5
19,0.528318062,0.181778051,0.004412792,0.000674159,0.000860493,0.001398169,0.547169811
20,0.532688594,0.168534616,0.002580367,0.000405941,0.000462287,0.001600143,0.487804878
21,0.534372743,-0.082052388,0.004587437,0.000716122,0.000808303,0.002173831,0.275862069
22,0.544797809,-0.84227851,0.003495143,0.000840114,0.000880897,0.001274973,0.28
23,0.545292155,-0.847688094,0.003483176,0.000354214,0.000814245,0.002349328,0.24
24,0.546447128,-0.851175796,0.002960849,0.000861055,0.000963099,0.001983595,0.078125
25,0.551001286,-0.85213406,0.002411606,0.000427625,0.000476032,0.000748046,0.230769231
26,0.563255078,-0.854075899,0.00472839,0.000605395,0.000655912,0.001338762,0.58974359
27,0.582542191,-0.870940308,0.003821563,0.00134132,0.000984333,0.00200121,0.45
28,0.591257836,0.049896932,0.004404005,0.001083405,0.000550707,0.000906557,0.25
29,0.602098065,-0.050016751,0.002937529,0.000560101,0.000777179,0.001535755,0.387096774
30,0.630839294,-0.027189752,0.004124908,0.000542031,0.000475419,0.001341112,0.523809524
31,0.640261431,-0.112105302,0.004505274,0.000768402,0.000647274,0.00328598,0.206896552
32,0.65488722,-0.068756682,0.001361003,0.000128058,0.000202784,0.000231701,0.277777778
33,0.666360945,-0.050347657,0.001329416,0.000321283,0.000294694,0.000247884,0.181818182
34,0.669359903,-0.035040541,0.001556553,0.000570701,0.00016447,0.000317115,0.119047619
35,0.681024796,-0.034553308,0.00284994,0.001119844,0.000356493,0.000791682,0.148148148
36,0.692672725,-0.045339289,0.00145236,0.000990416,0.0002861,0.000364734,0.242424242
37,0.697988603,-0.050771984,0.0030465,0.000341636,0.000224931,0.001125581,0.189189189
38,0.835652994,0.18474578,0.003372367,0.000380543,0.000787184,0.001336565,0.193548387
